Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
7,PB08,,Available,,,,,,NORMAL
8,PB09,,Available,,,,,,NORMAL
9,PA04,,Available,,,,,,NORMAL
10,PA05,,Available,,,,,,NORMAL
11,PA06,,Available,,,,,,NORMAL
12,PA07,,Available,,,,,,NORMAL
13,PA08,,Available,,,,,,NORMAL
14,PA09,,Available,,,,,,NORMAL
15,PA10,,Available,,,,,,NORMAL
16,PA11,,Available,,,,,,NORMAL
19,PB10,,Available,,,,,,NORMAL
20,PB11,,Available,,,,,,NORMAL
21,PA12,,Available,,,,,,NORMAL
22,PA13,,Available,,,,,,NORMAL
23,PA14,,Available,,,,,,NORMAL
24,PA15,,Available,,,,,,NORMAL
25,PA16,,Available,,,,,,NORMAL
26,PA17,,Available,,,,,,NORMAL
27,PA18,,Available,,,,,,NORMAL
28,PA19,LED1,GPIO,Digital,In/Out,Low,,,NORMAL
29,PA20,,Available,,,,,,NORMAL
30,PA21,,Available,,,,,,NORMAL
31,PA22,,Available,,,,,,NORMAL
32,PA23,,Available,,,,,,NORMAL
33,PA24,,Available,,,,,,NORMAL
34,PA25,,Available,,,,,,NORMAL
37,PB22,,Available,,,,,,NORMAL
38,PB23,,Available,,,,,,NORMAL
39,PA27,,EIC_EXTINT15,Digital,In/Out,Low,,,NORMAL
41,PA28,,Available,,,,,,NORMAL
45,PA30,,Available,,,,,,NORMAL
46,PA31,,Available,,,,,,NORMAL
47,PB02,,Available,,,,,,NORMAL
48,PB03,,Available,,,,,,NORMAL
